scenario_name,S0,K,sigma,rate,barrier_type,upper_barrier,lower_barrier,FA_price,FA_delta,FA_gamma,FA_vega,,FA Parity,FA Value,Diff,,,,,,
scenario_1,229.74,190,0.287899982,0.073086,up-and-out,260,,32.389,0.118697,-0.065055,-0.803342,,,,,,,,,,
scenario_2,229.74,190,0.287899982,0.073086,down-and-in,,200,0.655073,-0.07682295,0.0079574,0.09007896,,,,,,,,,,
scenario_3,229.74,190,0.287899982,0.073086,down-and-out,,200,40.277483,1.06809539,-0.00672993,-0.07422254,,,,,,,,,,
scenario_4,229.74,190,0.287899982,0.073086,up-and-in,250,,16.882863,1.39329957,0.07251065,0.89052418,,,,,,,,,vanilla,40.932556
Scenario_up_and_in_1,229.74,190,0.287899982,0.073086,up-and-in,230,,38.712842,1.61964369,-0.07879266,0.0801705,,38.712843,38.712842,1E-06,,,,,,
Scenario_up_and_in_2,229.74,190,0.287899982,0.073086,up-and-in,250,,16.882863,1.39329957,0.07251065,0.89052418,,16.882864,16.882863,1E-06,,,,,,
Scenario_up_and_in_3,229.74,190,0.287899982,0.073086,up-and-in,270,,3.661574,0.44796173,0.04428299,0.5525549,,3.661574,3.661574,0,,,,,,
Scenario_up_and_in_4,229.74,190,0.287899982,0.073086,up-and-in,290,,0.443278,0.07168433,0.01019483,0.12880194,,0.443279,0.443278,1E-06,,,,,,
Scenario_up_and_in_5,229.74,190,0.287899982,0.073086,up-and-in,310,,0.033295,0.00665036,0.00121572,0.01547655,,0.033295,0.033295,-4.58661E-15,,,,,,
Scenario_up_and_out_1,229.74,190,0.287899982,0.073086,up-and-out,230,,2.219713,-0.62837125,0.08002013,-0.06431408,,2.219714,2.219713,1E-06,,,,,,
Scenario_up_and_out_2,229.74,190,0.287899982,0.073086,up-and-out,250,,24.049692,-0.40202713,-0.07128318,-0.87466776,,24.049693,24.049692,1E-06,,,,,,
Scenario_up_and_out_3,229.74,190,0.287899982,0.073086,up-and-out,270,,37.270982,0.54331071,-0.04305552,-0.53669849,,37.270982,37.270982,0,,,,,,
Scenario_up_and_out_4,229.74,190,0.287899982,0.073086,up-and-out,290,,40.489277,0.9195881,-0.00896736,-0.11294553,,40.489278,40.489277,1E-06,,,,,,
Scenario_up_and_out_5,229.74,190,0.287899982,0.073086,up-and-out,310,,40.899261,0.98462208,0.00001175,0.00037986,,40.899261,40.899261,0,,,,,,
Scenario_down_and_in_1,229.74,190,0.287899982,0.073086,down-and-in,,220,14.47934,-0.983532,0.049938,0.347903,,14.479556,14.47934,0.000216,,,,,,
Scenario_down_and_in_2,229.74,190,0.287899982,0.073086,down-and-in,,200,0.65507,-0.076823,0.007957,0.090079,,0.655556,0.65507,0.000486,,,,,,
Scenario_down_and_in_3,229.74,190,0.287899982,0.073086,down-and-in,,180,0.00025,-0.000056,0.000012,0.000143,,0.000556,0.00025,0.000306,,,,,,
Scenario_down_and_out_1,229.74,190,0.287899982,0.073086,down-and-out,,220,26.453,1.974804,-0.04871,-0.332047,,26.453216,26.453,0.000216,,,,,,
Scenario_down_and_out_2,229.74,190,0.287899982,0.073086,down-and-out,,200,40.277,1.068095,-0.00673,-0.074223,,40.277486,40.277,0.000486,,,,,,
Scenario_down_and_out_3,229.74,190,0.287899982,0.073086,down-and-out,,180,40.932,0.991328,0.001215,0.015713,,40.932306,40.932,0.000306,,,,,,
