scenario_name,S0,K,sigma,rate,barrier_type,upper_barrier,lower_barrier,FA_price,FA_delta,FA_gamma,FA_vega,,FA Parity,FA Value,Diff,,,,,,
scenario_1,229.74,190,0.287899982,0.073086,up-and-out,260,,32.389,0.118697,-0.065055,-0.803342,,,,,,,,,,
scenario_2,229.74,190,0.287899982,0.073086,down-and-in,,200,0.655073,-0.07682295,0.0079574,0.09007896,,,,,,,,,,
scenario_3,229.74,190,0.287899982,0.073086,down-and-out,,200,40.277483,1.06809539,-0.00672993,-0.07422254,,,,,,,,,,
scenario_4,229.74,190,0.287899982,0.073086,up-and-in,250,,16.882863,1.39329957,0.07251065,0.89052418,,,,,,,,,vanilla,40.932556
Scenario_up_and_in_1,229.74,260,0.234882165755,0.073086,up-and-in,230,,23.8457456,0.00178956,-0.00066360,0.00699885,,38.712843,38.712842,1E-06,,,,,,
Scenario_up_and_in_2,229.74,260,0.234882165755,0.073086,up-and-in,250,,1.6506760,0.00000199,0.0000000,0.0000000,,16.882864,16.882863,1E-06,,,,,,
Scenario_up_and_in_3,229.74,260,0.234882165755,0.073086,up-and-in,270,,0.0038678,0.0000000,0.0000000,0.0000000,,3.661574,3.661574,0,,,,,,
Scenario_up_and_in_4,229.74,260,0.234882165755,0.073086,up-and-in,290,,0.0000000,0.0000000,0.0000000,0.0000000,,0.443279,0.443278,1E-06,,,,,,
Scenario_up_and_in_5,229.74,260,0.234882165755,0.073086,up-and-in,310,,0.0000000,0.0000000,0.0000000,0.0000000,,0.033295,0.033295,-4.58661E-15,,,,,,
Scenario_up_and_out_1,229.74,260,0.234882165755,0.073086,up-and-out,230,,0.0000000,0.0000000,0.0000000,0.0000000,,2.219714,2.219713,1E-06,,,,,,
Scenario_up_and_out_2,229.74,260,0.234882165755,0.073086,up-and-out,250,,27.3466339,-0.0087295599,0.001226957,0.015850212,,24.049693,24.049692,1E-06,,,,,,
Scenario_up_and_out_3,229.74,260,0.234882165755,0.073086,up-and-out,270,,28.9934420,-0.0087275664,0.001227468,0.015856415,,37.270982,37.270982,0,,,,,,
Scenario_up_and_out_4,229.74,260,0.234882165755,0.073086,up-and-out,290,,28.9973098,-0.0087275664,0.001227468,0.015856415,,40.489278,40.489277,1E-06,,,,,,
Scenario_up_and_out_5,229.74,260,0.234882165755,0.073086,up-and-out,310,,28.9973099,-0.0087275664,0.001227468,0.015856415,,40.899261,40.899261,0,,,,,,
Scenario_down_and_in_1,229.74,260,0.234882165755,0.073086,down-and-in,,220,17.6436095,-0.983532,0.049938,0.347903,,14.479556,14.47934,0.000216,,,,,,
Scenario_down_and_in_2,229.74,260,0.234882165755,0.073086,down-and-in,,200,1.7751196,-0.076823,0.007957,0.090079,,0.655556,0.65507,0.000486,,,,,,
Scenario_down_and_in_3,229.74,260,0.234882165755,0.073086,down-and-in,,180,0.0166060,-0.000056,0.000012,0.000143,,0.000556,0.00025,0.000306,,,,,,
Scenario_down_and_out_1,229.74,260,0.234882165755,0.073086,down-and-out,,220,11.3537004,0.0000000,0.0000000,0.0000000,,26.453216,26.453,0.000216,,,,,,
Scenario_down_and_out_2,229.74,260,0.234882165755,0.073086,down-and-out,,200,27.2221903,0.0000000,0.0000000,0.0000000,,40.277486,40.277,0.000486,,,,,,
Scenario_down_and_out_3,229.74,260,0.234882165755,0.073086,down-and-out,,180,28.9807038,-0.003953491,0.000456953,0.006033468,,40.932306,40.932,0.000306,,,,,,
